NFLX Adj Close 3	0    0.000185
AME Adj Close 18	0    0.000184
COST Adj Close 1	0    0.000182
RHI Adj Close 6	0    0.00018
PRGO Adj Close	0    0.000179
PKG Adj Close	0    0.000179
MU Adj Close 7	0    0.000177
CVS Adj Close 19	0    0.000176
MMM rsi 19	0    0.000176
CNC Adj Close 12	0    0.000175
MPWR Adj Close 7	0    0.000174
PPL Adj Close 6	0    0.000173
MSFT Adj Close 13	0    0.000173
EIX Adj Close 12	0    0.000173
FAST Adj Close 6	0    0.000172
DVA Adj Close 4	0    0.000171
COG Adj Close 12	0    0.000168
CCI Adj Close 11	0    0.000167
MMM macd 10	0    0.000167
DISH Adj Close 17	0    0.000166
UAL Adj Close 8	0    0.000166
CMG Adj Close 9	0    0.000166
TAP Adj Close 12	0    0.000165
NVDA Adj Close	0    0.000165
FTNT Adj Close 1	0    0.000164
LB Adj Close 4	0    0.000164
GLW Adj Close 19	0    0.000163
SBUX Adj Close 7	0    0.000163
RSG Adj Close 3	0    0.000163
KSU Adj Close 1	0    0.000163
CL Adj Close 20	0    0.000162
INCY Adj Close 8	0    0.000161
CNP Adj Close 12	0    0.000161
MKTX Adj Close 17	0    0.00016
CI Adj Close 15	0    0.000158
AVY Adj Close 20	0    0.000158
CBOE Adj Close 14	0    0.000157
ABC Adj Close 15	0    0.000157
TAP Adj Close 15	0    0.000157
LYB Adj Close 9	0    0.000157
NSC Adj Close	0    0.000156
APD Adj Close	0    0.000156
CTVA Adj Close 19	0    0.000155
BIO Adj Close 17	0    0.000155
LVS Adj Close	0    0.000155
CPB Adj Close	0    0.000154
NTRS Adj Close 16	0    0.000153
TSN Adj Close 3	0    0.000153
FTNT Adj Close 11	0    0.000152
KEY Adj Close 2	0    0.000151
BA Adj Close 15	0    0.000151
DLR Adj Close 9	0    0.00015
HES Adj Close 8	0    0.000149
EBAY Adj Close	0    0.000149
SWKS Adj Close 4	0    0.000149
XOM Adj Close 9	0    0.000148
MMC Adj Close 21	0    0.000147
NCLH Adj Close 15	0    0.000147
WMT Adj Close 10	0    0.000147
ORLY Adj Close 15	0    0.000146
FBHS Adj Close 11	0    0.000145
AVB Adj Close 3	0    0.000145
DISCA Adj Close 7	0    0.000143
LKQ Adj Close 17	0    0.000142
CAH Adj Close	0    0.000142
TSLA Adj Close 10	0    0.000142
UA Adj Close 21	0    0.000142
PEAK Adj Close	0    0.000141
AEP Adj Close 2	0    0.000141
UNH Adj Close 17	0    0.00014
AOS Adj Close 16	0    0.00014
SEE Adj Close 9	0    0.000139
ETN Adj Close 12	0    0.000139
LMT Adj Close 12	0    0.000139
ABMD Adj Close 13	0    0.000138
WDC Adj Close	0    0.000137
BR Adj Close 11	0    0.000136
BIIB Adj Close 2	0    0.000135
NWL Adj Close 6	0    0.000135
WRB Adj Close 21	0    0.000135
MMM macd 16	0    0.000135
ROST Adj Close 9	0    0.000134
MXIM Adj Close 21	0    0.000134
XRAY Adj Close	0    0.000133
AFL Adj Close 10	0    0.000133
SJM Adj Close 16	0    0.000133
FOXA Adj Close	0    0.000132
NOW Adj Close 8	0    0.000132
BEN Adj Close 17	0    0.000132
DVA Adj Close	0    0.000131
HPQ Adj Close 14	0    0.000131
DAL Adj Close	0    0.000131
ISRG Adj Close 13	0    0.000129
NOW Adj Close 16	0    0.000129
PEG Adj Close 14	0    0.000128
TMUS Adj Close 3	0    0.000128
MOS Adj Close 6	0    0.000127
C Adj Close 8	0    0.000127
XLNX Adj Close 16	0    0.000126
BSX Adj Close 16	0    0.000126
DGX Adj Close 1	0    0.000126
TFC Adj Close 21	0    0.000125
NLSN Adj Close 4	0    0.000124
LUV Adj Close 8	0    0.000124
SNPS Adj Close	0    0.000124
AAL Adj Close 1	0    0.000124
FCX Adj Close 16	0    0.000123
SPG Adj Close 15	0    0.000123
TAP Adj Close 3	0    0.000123
AIZ Adj Close 13	0    0.000123
APTV Adj Close 5	0    0.000123
PSA Adj Close 18	0    0.000122
CSCO Adj Close 7	0    0.000122
ZION Adj Close 12	0    0.000122
TRV Adj Close 13	0    0.000122
DVN Adj Close 11	0    0.000122
MAS Adj Close 14	0    0.000121
STZ Adj Close 5	0    0.00012
UAA Adj Close 15	0    0.00012
SWKS Adj Close 8	0    0.00012
TJX Adj Close 13	0    0.000119
LHX Adj Close 6	0    0.000118
ULTA Adj Close 5	0    0.000118
